Equation, Degree, Coefficients, Number of points, Epsilon, Connected components
-12*u**2 - 23*v**2 + 49*w**2 + 3,2,84.0,250,0.1,80
-12*u**2 - 23*v**2 + 49*w**2 + 3,2,84.0,500,0.25,44
-12*u**2 - 23*v**2 + 49*w**2 + 3,2,84.0,750,0.3,35
-12*u**2 - 23*v**2 + 49*w**2 + 3,2,84.0,750,0.15,57
17*u**3 + 8*v**3 + 46*w**2 - 1,3,71.0,250,0.1,84
17*u**3 + 8*v**3 + 46*w**2 - 1,3,71.0,500,0.2,126
17*u**3 + 8*v**3 + 46*w**2 - 1,3,71.0,500,0.15,127
17*u**3 + 8*v**3 + 46*w**2 - 1,3,71.0,750,0.3,131
-7*u**3 + 8*v**2 + 32*w**3 - 4,3,47.0,250,0.3,37
-7*u**3 + 8*v**2 + 32*w**3 - 4,3,47.0,250,0.2,46
-7*u**3 + 8*v**2 + 32*w**3 - 4,3,47.0,250,0.15,58
-7*u**3 + 8*v**2 + 32*w**3 - 4,3,47.0,250,0.1,83
-7*u**3 + 8*v**2 + 32*w**3 - 4,3,47.0,500,0.3,62
-7*u**3 + 8*v**2 + 32*w**3 - 4,3,47.0,500,0.15,82
-7*u**3 + 8*v**2 + 32*w**3 - 4,3,47.0,500,0.1,116
-7*u**3 + 8*v**2 + 32*w**3 - 4,3,47.0,750,0.3,88
-7*u**3 + 8*v**2 + 32*w**3 - 4,3,47.0,750,0.25,108
-7*u**3 + 8*v**2 + 32*w**3 - 4,3,47.0,1000,0.3,119
-7*u**3 + 8*v**2 + 32*w**3 - 4,3,47.0,1000,0.25,122
-7*u**3 + 8*v**2 + 32*w**3 - 4,3,47.0,1000,0.2,115
-7*u**3 + 8*v**2 + 32*w**3 - 4,3,47.0,1000,0.15,132
5*u**2 + 5*v**2 - 13*w**3 + 4,3,23.0,250,0.3,107
5*u**2 + 5*v**2 - 13*w**3 + 4,3,23.0,250,0.25,98
5*u**2 + 5*v**2 - 13*w**3 + 4,3,23.0,250,0.2,125
5*u**2 + 5*v**2 - 13*w**3 + 4,3,23.0,250,0.15,136
5*u**2 + 5*v**2 - 13*w**3 + 4,3,23.0,250,0.1,167
5*u**2 + 5*v**2 - 13*w**3 + 4,3,23.0,500,0.3,158
5*u**2 + 5*v**2 - 13*w**3 + 4,3,23.0,500,0.25,170
5*u**2 + 5*v**2 - 13*w**3 + 4,3,23.0,500,0.2,203
5*u**2 + 5*v**2 - 13*w**3 + 4,3,23.0,500,0.15,240
5*u**2 + 5*v**2 - 13*w**3 + 4,3,23.0,500,0.1,261
5*u**2 + 5*v**2 - 13*w**3 + 4,3,23.0,750,0.3,215
5*u**2 + 5*v**2 - 13*w**3 + 4,3,23.0,750,0.25,261
5*u**2 + 5*v**2 - 13*w**3 + 4,3,23.0,750,0.2,273
5*u**2 + 5*v**2 - 13*w**3 + 4,3,23.0,750,0.15,304
5*u**2 + 5*v**2 - 13*w**3 + 4,3,23.0,750,0.1,358
5*u**2 + 5*v**2 - 13*w**3 + 4,3,23.0,1000,0.25,284
5*u**2 + 5*v**2 - 13*w**3 + 4,3,23.0,1000,0.2,352
5*u**2 + 5*v**2 - 13*w**3 + 4,3,23.0,1000,0.15,406
5*u**2 + 5*v**2 - 13*w**3 + 4,3,23.0,1000,0.1,457
-16*u**2 - 40*v**2 + 37*w**3 - 2,3,93.0,250,0.3,123
-16*u**2 - 40*v**2 + 37*w**3 - 2,3,93.0,250,0.25,126
-16*u**2 - 40*v**2 + 37*w**3 - 2,3,93.0,250,0.2,146
-16*u**2 - 40*v**2 + 37*w**3 - 2,3,93.0,250,0.1,188
-16*u**2 - 40*v**2 + 37*w**3 - 2,3,93.0,500,0.25,241
-16*u**2 - 40*v**2 + 37*w**3 - 2,3,93.0,500,0.2,257
-16*u**2 - 40*v**2 + 37*w**3 - 2,3,93.0,500,0.15,298
-16*u**2 - 40*v**2 + 37*w**3 - 2,3,93.0,500,0.1,320
-16*u**2 - 40*v**2 + 37*w**3 - 2,3,93.0,750,0.3,303
-16*u**2 - 40*v**2 + 37*w**3 - 2,3,93.0,750,0.25,366
-16*u**2 - 40*v**2 + 37*w**3 - 2,3,93.0,750,0.2,353
-16*u**2 - 40*v**2 + 37*w**3 - 2,3,93.0,750,0.15,393
-16*u**2 - 40*v**2 + 37*w**3 - 2,3,93.0,750,0.1,461
-16*u**2 - 40*v**2 + 37*w**3 - 2,3,93.0,1000,0.2,506
-16*u**2 - 40*v**2 + 37*w**3 - 2,3,93.0,1000,0.1,600
47*u**2 + 13*v**3 + 29*w**2 - 5,3,89.0,250,0.3,64
47*u**2 + 13*v**3 + 29*w**2 - 5,3,89.0,250,0.25,70
47*u**2 + 13*v**3 + 29*w**2 - 5,3,89.0,250,0.2,68
47*u**2 + 13*v**3 + 29*w**2 - 5,3,89.0,250,0.15,75
47*u**2 + 13*v**3 + 29*w**2 - 5,3,89.0,250,0.1,93
47*u**2 + 13*v**3 + 29*w**2 - 5,3,89.0,500,0.3,134
47*u**2 + 13*v**3 + 29*w**2 - 5,3,89.0,500,0.25,128
47*u**2 + 13*v**3 + 29*w**2 - 5,3,89.0,500,0.1,154
47*u**2 + 13*v**3 + 29*w**2 - 5,3,89.0,750,0.3,174
47*u**2 + 13*v**3 + 29*w**2 - 5,3,89.0,750,0.25,178
47*u**2 + 13*v**3 + 29*w**2 - 5,3,89.0,750,0.15,193
47*u**2 + 13*v**3 + 29*w**2 - 5,3,89.0,750,0.1,213
47*u**2 + 13*v**3 + 29*w**2 - 5,3,89.0,1000,0.3,218
47*u**2 + 13*v**3 + 29*w**2 - 5,3,89.0,1000,0.25,235
47*u**2 + 13*v**3 + 29*w**2 - 5,3,89.0,1000,0.15,256
47*u**2 + 13*v**3 + 29*w**2 - 5,3,89.0,1000,0.1,261
-16*u**2 + 41*v**3 + 33*w**2 + 4,3,90.0,250,0.3,89
-16*u**2 + 41*v**3 + 33*w**2 + 4,3,90.0,250,0.25,89
-16*u**2 + 41*v**3 + 33*w**2 + 4,3,90.0,250,0.2,109
-16*u**2 + 41*v**3 + 33*w**2 + 4,3,90.0,250,0.15,99
-16*u**2 + 41*v**3 + 33*w**2 + 4,3,90.0,250,0.1,160
-16*u**2 + 41*v**3 + 33*w**2 + 4,3,90.0,500,0.3,166
-16*u**2 + 41*v**3 + 33*w**2 + 4,3,90.0,500,0.25,168
-16*u**2 + 41*v**3 + 33*w**2 + 4,3,90.0,500,0.2,187
-16*u**2 + 41*v**3 + 33*w**2 + 4,3,90.0,500,0.15,204
-16*u**2 + 41*v**3 + 33*w**2 + 4,3,90.0,500,0.1,220
-16*u**2 + 41*v**3 + 33*w**2 + 4,3,90.0,750,0.3,210
-16*u**2 + 41*v**3 + 33*w**2 + 4,3,90.0,750,0.15,274
-16*u**2 + 41*v**3 + 33*w**2 + 4,3,90.0,750,0.1,307
-16*u**2 + 41*v**3 + 33*w**2 + 4,3,90.0,1000,0.3,256
-16*u**2 + 41*v**3 + 33*w**2 + 4,3,90.0,1000,0.15,342
-16*u**2 + 41*v**3 + 33*w**2 + 4,3,90.0,1000,0.1,357
-27*u**3 - 41*v**3 - 5*w**2 - 2,3,73.0,250,0.3,30
-27*u**3 - 41*v**3 - 5*w**2 - 2,3,73.0,250,0.25,25
-27*u**3 - 41*v**3 - 5*w**2 - 2,3,73.0,250,0.2,28
-27*u**3 - 41*v**3 - 5*w**2 - 2,3,73.0,250,0.15,47
-27*u**3 - 41*v**3 - 5*w**2 - 2,3,73.0,250,0.1,76
-27*u**3 - 41*v**3 - 5*w**2 - 2,3,73.0,500,0.3,38
-27*u**3 - 41*v**3 - 5*w**2 - 2,3,73.0,500,0.25,54
-27*u**3 - 41*v**3 - 5*w**2 - 2,3,73.0,500,0.15,86
-27*u**3 - 41*v**3 - 5*w**2 - 2,3,73.0,500,0.1,108
-27*u**3 - 41*v**3 - 5*w**2 - 2,3,73.0,750,0.3,60
-27*u**3 - 41*v**3 - 5*w**2 - 2,3,73.0,750,0.25,72
-27*u**3 - 41*v**3 - 5*w**2 - 2,3,73.0,750,0.2,88
-27*u**3 - 41*v**3 - 5*w**2 - 2,3,73.0,750,0.15,91
-27*u**3 - 41*v**3 - 5*w**2 - 2,3,73.0,750,0.1,141
-27*u**3 - 41*v**3 - 5*w**2 - 2,3,73.0,1000,0.3,65
-27*u**3 - 41*v**3 - 5*w**2 - 2,3,73.0,1000,0.25,77
-27*u**3 - 41*v**3 - 5*w**2 - 2,3,73.0,1000,0.2,111
-27*u**3 - 41*v**3 - 5*w**2 - 2,3,73.0,1000,0.15,125
-27*u**3 - 41*v**3 - 5*w**2 - 2,3,73.0,1000,0.1,139
45*u**2 - 20*w**2 - 2,2,65.0,250,0.3,7
45*u**2 - 20*w**2 - 2,2,65.0,250,0.25,11
45*u**2 - 20*w**2 - 2,2,65.0,250,0.2,14
45*u**2 - 20*w**2 - 2,2,65.0,250,0.15,7
45*u**2 - 20*w**2 - 2,2,65.0,250,0.1,13
45*u**2 - 20*w**2 - 2,2,65.0,500,0.2,7
45*u**2 - 20*w**2 - 2,2,65.0,500,0.15,11
45*u**2 - 20*w**2 - 2,2,65.0,750,0.3,7
45*u**2 - 20*w**2 - 2,2,65.0,750,0.25,9
45*u**2 - 20*w**2 - 2,2,65.0,750,0.2,7
45*u**2 - 20*w**2 - 2,2,65.0,1000,0.2,11
31*u**3 + 6*v**2 - 47*w**2 - 2,3,84.0,250,0.3,111
31*u**3 + 6*v**2 - 47*w**2 - 2,3,84.0,250,0.25,118
31*u**3 + 6*v**2 - 47*w**2 - 2,3,84.0,250,0.2,130
31*u**3 + 6*v**2 - 47*w**2 - 2,3,84.0,250,0.15,144
31*u**3 + 6*v**2 - 47*w**2 - 2,3,84.0,250,0.1,158
31*u**3 + 6*v**2 - 47*w**2 - 2,3,84.0,500,0.3,189
31*u**3 + 6*v**2 - 47*w**2 - 2,3,84.0,500,0.2,234
31*u**3 + 6*v**2 - 47*w**2 - 2,3,84.0,500,0.15,262
31*u**3 + 6*v**2 - 47*w**2 - 2,3,84.0,500,0.1,292
31*u**3 + 6*v**2 - 47*w**2 - 2,3,84.0,750,0.25,307
31*u**3 + 6*v**2 - 47*w**2 - 2,3,84.0,750,0.2,298
31*u**3 + 6*v**2 - 47*w**2 - 2,3,84.0,750,0.15,323
31*u**3 + 6*v**2 - 47*w**2 - 2,3,84.0,1000,0.3,345
31*u**3 + 6*v**2 - 47*w**2 - 2,3,84.0,1000,0.15,476
31*u**3 + 6*v**2 - 47*w**2 - 2,3,84.0,1000,0.1,524
-4*u**2 + 23*v**2 + 31*w**3 + 1,3,58.0,250,0.3,85
-4*u**2 + 23*v**2 + 31*w**3 + 1,3,58.0,250,0.25,94
-4*u**2 + 23*v**2 + 31*w**3 + 1,3,58.0,250,0.2,109
-4*u**2 + 23*v**2 + 31*w**3 + 1,3,58.0,250,0.15,114
-4*u**2 + 23*v**2 + 31*w**3 + 1,3,58.0,250,0.1,126
-4*u**2 + 23*v**2 + 31*w**3 + 1,3,58.0,500,0.3,151
-4*u**2 + 23*v**2 + 31*w**3 + 1,3,58.0,500,0.25,140
-4*u**2 + 23*v**2 + 31*w**3 + 1,3,58.0,500,0.2,176
-4*u**2 + 23*v**2 + 31*w**3 + 1,3,58.0,500,0.15,207
-4*u**2 + 23*v**2 + 31*w**3 + 1,3,58.0,500,0.1,221
-4*u**2 + 23*v**2 + 31*w**3 + 1,3,58.0,750,0.3,216
-4*u**2 + 23*v**2 + 31*w**3 + 1,3,58.0,750,0.25,219
-4*u**2 + 23*v**2 + 31*w**3 + 1,3,58.0,750,0.2,230
-4*u**2 + 23*v**2 + 31*w**3 + 1,3,58.0,750,0.15,244
-4*u**2 + 23*v**2 + 31*w**3 + 1,3,58.0,750,0.1,302
-4*u**2 + 23*v**2 + 31*w**3 + 1,3,58.0,1000,0.3,270
-4*u**2 + 23*v**2 + 31*w**3 + 1,3,58.0,1000,0.25,309
-4*u**2 + 23*v**2 + 31*w**3 + 1,3,58.0,1000,0.2,345
-4*u**2 + 23*v**2 + 31*w**3 + 1,3,58.0,1000,0.15,354
-4*u**2 + 23*v**2 + 31*w**3 + 1,3,58.0,1000,0.1,417
23*u**3 - 7*v**2 + 20*w**2 + 3,3,50.0,250,0.3,87
23*u**3 - 7*v**2 + 20*w**2 + 3,3,50.0,250,0.25,87
23*u**3 - 7*v**2 + 20*w**2 + 3,3,50.0,250,0.2,103
23*u**3 - 7*v**2 + 20*w**2 + 3,3,50.0,250,0.15,110
23*u**3 - 7*v**2 + 20*w**2 + 3,3,50.0,250,0.1,149
23*u**3 - 7*v**2 + 20*w**2 + 3,3,50.0,500,0.25,169
23*u**3 - 7*v**2 + 20*w**2 + 3,3,50.0,500,0.15,203
23*u**3 - 7*v**2 + 20*w**2 + 3,3,50.0,500,0.1,242
23*u**3 - 7*v**2 + 20*w**2 + 3,3,50.0,750,0.25,252
23*u**3 - 7*v**2 + 20*w**2 + 3,3,50.0,750,0.2,252
23*u**3 - 7*v**2 + 20*w**2 + 3,3,50.0,750,0.15,297
23*u**3 - 7*v**2 + 20*w**2 + 3,3,50.0,750,0.1,300
23*u**3 - 7*v**2 + 20*w**2 + 3,3,50.0,1000,0.3,265
23*u**3 - 7*v**2 + 20*w**2 + 3,3,50.0,1000,0.25,298
23*u**3 - 7*v**2 + 20*w**2 + 3,3,50.0,1000,0.2,308
23*u**3 - 7*v**2 + 20*w**2 + 3,3,50.0,1000,0.15,339
23*u**3 - 7*v**2 + 20*w**2 + 3,3,50.0,1000,0.1,413
10*u**2 + 43*v**2 - 49*w**3 - 5,3,102.0,250,0.3,48
10*u**2 + 43*v**2 - 49*w**3 - 5,3,102.0,250,0.2,60
10*u**2 + 43*v**2 - 49*w**3 - 5,3,102.0,250,0.15,72
10*u**2 + 43*v**2 - 49*w**3 - 5,3,102.0,250,0.1,83
10*u**2 + 43*v**2 - 49*w**3 - 5,3,102.0,500,0.3,94
10*u**2 + 43*v**2 - 49*w**3 - 5,3,102.0,500,0.1,145
10*u**2 + 43*v**2 - 49*w**3 - 5,3,102.0,750,0.25,157
10*u**2 + 43*v**2 - 49*w**3 - 5,3,102.0,1000,0.3,187
3*u**3 + 46*v**3 - 43*w**2 - 5,3,92.0,250,0.3,117
3*u**3 + 46*v**3 - 43*w**2 - 5,3,92.0,250,0.25,116
3*u**3 + 46*v**3 - 43*w**2 - 5,3,92.0,250,0.2,130
3*u**3 + 46*v**3 - 43*w**2 - 5,3,92.0,250,0.15,154
3*u**3 + 46*v**3 - 43*w**2 - 5,3,92.0,250,0.1,173
3*u**3 + 46*v**3 - 43*w**2 - 5,3,92.0,500,0.25,194
3*u**3 + 46*v**3 - 43*w**2 - 5,3,92.0,500,0.2,233
3*u**3 + 46*v**3 - 43*w**2 - 5,3,92.0,500,0.15,255
3*u**3 + 46*v**3 - 43*w**2 - 5,3,92.0,500,0.1,315
3*u**3 + 46*v**3 - 43*w**2 - 5,3,92.0,750,0.3,299
3*u**3 + 46*v**3 - 43*w**2 - 5,3,92.0,750,0.25,299
3*u**3 + 46*v**3 - 43*w**2 - 5,3,92.0,750,0.2,327
3*u**3 + 46*v**3 - 43*w**2 - 5,3,92.0,750,0.15,375
3*u**3 + 46*v**3 - 43*w**2 - 5,3,92.0,750,0.1,396
3*u**3 + 46*v**3 - 43*w**2 - 5,3,92.0,1000,0.3,364
3*u**3 + 46*v**3 - 43*w**2 - 5,3,92.0,1000,0.25,391
3*u**3 + 46*v**3 - 43*w**2 - 5,3,92.0,1000,0.2,374
3*u**3 + 46*v**3 - 43*w**2 - 5,3,92.0,1000,0.1,494
38*u**3 + 22*v**3 - 2*w**3 + 1,3,62.0,250,0.3,4
38*u**3 + 22*v**3 - 2*w**3 + 1,3,62.0,250,0.25,8
38*u**3 + 22*v**3 - 2*w**3 + 1,3,62.0,250,0.2,19
38*u**3 + 22*v**3 - 2*w**3 + 1,3,62.0,250,0.15,17
38*u**3 + 22*v**3 - 2*w**3 + 1,3,62.0,250,0.1,30
38*u**3 + 22*v**3 - 2*w**3 + 1,3,62.0,500,0.3,14
38*u**3 + 22*v**3 - 2*w**3 + 1,3,62.0,500,0.25,17
38*u**3 + 22*v**3 - 2*w**3 + 1,3,62.0,500,0.2,14
38*u**3 + 22*v**3 - 2*w**3 + 1,3,62.0,500,0.15,27
38*u**3 + 22*v**3 - 2*w**3 + 1,3,62.0,500,0.1,41
38*u**3 + 22*v**3 - 2*w**3 + 1,3,62.0,750,0.3,10
38*u**3 + 22*v**3 - 2*w**3 + 1,3,62.0,750,0.25,20
38*u**3 + 22*v**3 - 2*w**3 + 1,3,62.0,750,0.2,15
38*u**3 + 22*v**3 - 2*w**3 + 1,3,62.0,750,0.15,30
38*u**3 + 22*v**3 - 2*w**3 + 1,3,62.0,750,0.1,40
38*u**3 + 22*v**3 - 2*w**3 + 1,3,62.0,1000,0.3,6
38*u**3 + 22*v**3 - 2*w**3 + 1,3,62.0,1000,0.25,17
38*u**3 + 22*v**3 - 2*w**3 + 1,3,62.0,1000,0.2,30
38*u**3 + 22*v**3 - 2*w**3 + 1,3,62.0,1000,0.15,31
38*u**3 + 22*v**3 - 2*w**3 + 1,3,62.0,1000,0.1,53
-18*u**2 - 28*v**2 + 36*w**3 - 4,3,82.0,250,0.3,122
-18*u**2 - 28*v**2 + 36*w**3 - 4,3,82.0,250,0.25,129
-18*u**2 - 28*v**2 + 36*w**3 - 4,3,82.0,250,0.2,162
-18*u**2 - 28*v**2 + 36*w**3 - 4,3,82.0,250,0.15,151
-18*u**2 - 28*v**2 + 36*w**3 - 4,3,82.0,250,0.1,179
-18*u**2 - 28*v**2 + 36*w**3 - 4,3,82.0,500,0.25,251
-18*u**2 - 28*v**2 + 36*w**3 - 4,3,82.0,500,0.2,258
-18*u**2 - 28*v**2 + 36*w**3 - 4,3,82.0,500,0.15,277
-18*u**2 - 28*v**2 + 36*w**3 - 4,3,82.0,500,0.1,334
-18*u**2 - 28*v**2 + 36*w**3 - 4,3,82.0,750,0.3,301
-18*u**2 - 28*v**2 + 36*w**3 - 4,3,82.0,750,0.25,336
-18*u**2 - 28*v**2 + 36*w**3 - 4,3,82.0,750,0.2,341
-18*u**2 - 28*v**2 + 36*w**3 - 4,3,82.0,750,0.15,383
-18*u**2 - 28*v**2 + 36*w**3 - 4,3,82.0,750,0.1,462
-18*u**2 - 28*v**2 + 36*w**3 - 4,3,82.0,1000,0.3,408
-18*u**2 - 28*v**2 + 36*w**3 - 4,3,82.0,1000,0.25,380
-18*u**2 - 28*v**2 + 36*w**3 - 4,3,82.0,1000,0.2,476
-18*u**2 - 28*v**2 + 36*w**3 - 4,3,82.0,1000,0.15,470
-18*u**2 - 28*v**2 + 36*w**3 - 4,3,82.0,1000,0.1,553
18*u**2 + 4*v**3 + 17*w**2 - 1,3,39.0,250,0.3,59
18*u**2 + 4*v**3 + 17*w**2 - 1,3,39.0,250,0.25,58
18*u**2 + 4*v**3 + 17*w**2 - 1,3,39.0,250,0.2,60
18*u**2 + 4*v**3 + 17*w**2 - 1,3,39.0,250,0.15,60
18*u**2 + 4*v**3 + 17*w**2 - 1,3,39.0,250,0.1,65
18*u**2 + 4*v**3 + 17*w**2 - 1,3,39.0,500,0.3,112
18*u**2 + 4*v**3 + 17*w**2 - 1,3,39.0,500,0.25,121
18*u**2 + 4*v**3 + 17*w**2 - 1,3,39.0,500,0.2,121
18*u**2 + 4*v**3 + 17*w**2 - 1,3,39.0,500,0.15,117
18*u**2 + 4*v**3 + 17*w**2 - 1,3,39.0,500,0.1,128
18*u**2 + 4*v**3 + 17*w**2 - 1,3,39.0,750,0.3,171
18*u**2 + 4*v**3 + 17*w**2 - 1,3,39.0,750,0.15,181
18*u**2 + 4*v**3 + 17*w**2 - 1,3,39.0,750,0.1,190
18*u**2 + 4*v**3 + 17*w**2 - 1,3,39.0,1000,0.3,210
18*u**2 + 4*v**3 + 17*w**2 - 1,3,39.0,1000,0.25,229
18*u**2 + 4*v**3 + 17*w**2 - 1,3,39.0,1000,0.2,244
18*u**2 + 4*v**3 + 17*w**2 - 1,3,39.0,1000,0.15,237
18*u**2 + 4*v**3 + 17*w**2 - 1,3,39.0,1000,0.1,239
41*u**3 - 11*v**3 - 47*w**3 + 3,3,99.0,250,0.3,10
41*u**3 - 11*v**3 - 47*w**3 + 3,3,99.0,250,0.25,12
41*u**3 - 11*v**3 - 47*w**3 + 3,3,99.0,250,0.2,16
41*u**3 - 11*v**3 - 47*w**3 + 3,3,99.0,250,0.15,27
41*u**3 - 11*v**3 - 47*w**3 + 3,3,99.0,250,0.1,47
41*u**3 - 11*v**3 - 47*w**3 + 3,3,99.0,500,0.3,14
41*u**3 - 11*v**3 - 47*w**3 + 3,3,99.0,500,0.25,12
41*u**3 - 11*v**3 - 47*w**3 + 3,3,99.0,500,0.2,17
41*u**3 - 11*v**3 - 47*w**3 + 3,3,99.0,500,0.1,42
41*u**3 - 11*v**3 - 47*w**3 + 3,3,99.0,750,0.25,22
41*u**3 - 11*v**3 - 47*w**3 + 3,3,99.0,750,0.2,23
41*u**3 - 11*v**3 - 47*w**3 + 3,3,99.0,750,0.15,24
41*u**3 - 11*v**3 - 47*w**3 + 3,3,99.0,750,0.1,67
41*u**3 - 11*v**3 - 47*w**3 + 3,3,99.0,1000,0.3,16
41*u**3 - 11*v**3 - 47*w**3 + 3,3,99.0,1000,0.25,20
41*u**3 - 11*v**3 - 47*w**3 + 3,3,99.0,1000,0.2,20
41*u**3 - 11*v**3 - 47*w**3 + 3,3,99.0,1000,0.15,31
41*u**3 - 11*v**3 - 47*w**3 + 3,3,99.0,1000,0.1,63
-14*u**2 + 49*v**2 - 24*w**3 + 5,3,87.0,250,0.3,117
-14*u**2 + 49*v**2 - 24*w**3 + 5,3,87.0,250,0.25,111
-14*u**2 + 49*v**2 - 24*w**3 + 5,3,87.0,250,0.2,135
-14*u**2 + 49*v**2 - 24*w**3 + 5,3,87.0,250,0.15,164
-14*u**2 + 49*v**2 - 24*w**3 + 5,3,87.0,250,0.1,170
-14*u**2 + 49*v**2 - 24*w**3 + 5,3,87.0,500,0.3,201
-14*u**2 + 49*v**2 - 24*w**3 + 5,3,87.0,500,0.25,199
-14*u**2 + 49*v**2 - 24*w**3 + 5,3,87.0,500,0.2,221
-14*u**2 + 49*v**2 - 24*w**3 + 5,3,87.0,500,0.15,263
-14*u**2 + 49*v**2 - 24*w**3 + 5,3,87.0,750,0.3,261
-14*u**2 + 49*v**2 - 24*w**3 + 5,3,87.0,750,0.2,312
-14*u**2 + 49*v**2 - 24*w**3 + 5,3,87.0,750,0.15,357
-14*u**2 + 49*v**2 - 24*w**3 + 5,3,87.0,750,0.1,405
-14*u**2 + 49*v**2 - 24*w**3 + 5,3,87.0,1000,0.25,371
-14*u**2 + 49*v**2 - 24*w**3 + 5,3,87.0,1000,0.15,468
-14*u**2 + 49*v**2 - 24*w**3 + 5,3,87.0,1000,0.1,502
24*u**2 - 7*v**3 + 42*w**3 + 4,3,73.0,250,0.3,79
24*u**2 - 7*v**3 + 42*w**3 + 4,3,73.0,250,0.25,100
24*u**2 - 7*v**3 + 42*w**3 + 4,3,73.0,250,0.2,107
24*u**2 - 7*v**3 + 42*w**3 + 4,3,73.0,250,0.15,120
24*u**2 - 7*v**3 + 42*w**3 + 4,3,73.0,250,0.1,141
24*u**2 - 7*v**3 + 42*w**3 + 4,3,73.0,500,0.3,116
24*u**2 - 7*v**3 + 42*w**3 + 4,3,73.0,500,0.25,181
24*u**2 - 7*v**3 + 42*w**3 + 4,3,73.0,500,0.2,176
24*u**2 - 7*v**3 + 42*w**3 + 4,3,73.0,500,0.15,229
24*u**2 - 7*v**3 + 42*w**3 + 4,3,73.0,500,0.1,253
24*u**2 - 7*v**3 + 42*w**3 + 4,3,73.0,750,0.3,196
24*u**2 - 7*v**3 + 42*w**3 + 4,3,73.0,750,0.25,208
24*u**2 - 7*v**3 + 42*w**3 + 4,3,73.0,750,0.2,213
24*u**2 - 7*v**3 + 42*w**3 + 4,3,73.0,750,0.15,267
24*u**2 - 7*v**3 + 42*w**3 + 4,3,73.0,750,0.1,320
24*u**2 - 7*v**3 + 42*w**3 + 4,3,73.0,1000,0.3,219
24*u**2 - 7*v**3 + 42*w**3 + 4,3,73.0,1000,0.25,250
24*u**2 - 7*v**3 + 42*w**3 + 4,3,73.0,1000,0.2,308
24*u**2 - 7*v**3 + 42*w**3 + 4,3,73.0,1000,0.1,431
41*u**2 - 16*v**3 + 5*w**3 - 5,3,62.0,250,0.25,68
41*u**2 - 16*v**3 + 5*w**3 - 5,3,62.0,250,0.2,73
41*u**2 - 16*v**3 + 5*w**3 - 5,3,62.0,250,0.15,81
41*u**2 - 16*v**3 + 5*w**3 - 5,3,62.0,250,0.1,122
41*u**2 - 16*v**3 + 5*w**3 - 5,3,62.0,500,0.3,107
41*u**2 - 16*v**3 + 5*w**3 - 5,3,62.0,500,0.25,124
41*u**2 - 16*v**3 + 5*w**3 - 5,3,62.0,500,0.1,178
41*u**2 - 16*v**3 + 5*w**3 - 5,3,62.0,750,0.3,174
41*u**2 - 16*v**3 + 5*w**3 - 5,3,62.0,750,0.25,185
41*u**2 - 16*v**3 + 5*w**3 - 5,3,62.0,750,0.2,171
41*u**2 - 16*v**3 + 5*w**3 - 5,3,62.0,750,0.1,240
41*u**2 - 16*v**3 + 5*w**3 - 5,3,62.0,1000,0.25,208
41*u**2 - 16*v**3 + 5*w**3 - 5,3,62.0,1000,0.2,249
